,Median Rent 2016,Tract Number,Neighborhood,Location
310,2366.0,137502,Woodland Hills,"(34.163679, -118.596991)"
311,2669.0,138000,Woodland Hills,"(34.1469275, -118.5914025)"
312,1449.0,139001,Encino,"(34.1752945, -118.509778)"
313,1524.0,139200,Encino,"(34.175666, -118.5246645)"
314,2530.0,139301,Tarzana,"(34.1796355, -118.556094)"
315,1442.0,139302,Tarzana,"(34.1767015, -118.5383655)"
316,1234.0,139303,Tarzana,"(34.1758345, -118.533412)"
317,1183.0,139401,Tarzana,"(34.169524, -118.5377675)"
318,2469.0,139402,Tarzana,"(34.1677675, -118.548778)"
319,1574.0,139502,Encino,"(34.164742, -118.5254075)"
320,1408.0,139503,Encino,"(34.1673155, -118.524646)"
321,1360.0,139504,Encino,"(34.1667565, -118.5203235)"
322,1545.0,139600,Encino,"(34.1632385, -118.509831)"
323,2418.0,139701,Encino,"(34.157356, -118.4967075)"
324,3479.0,139702,Encino,"(34.1430395, -118.504833)"
325,2695.0,139703,Tarzana,"(34.144623, -118.5319345)"
326,2522.0,139801,Tarzana,"(34.153124, -118.5451245)"
327,3299.0,139802,Tarzana,"(34.1453435, -118.5545195)"
328,1565.0,141101,Sherman Oaks,"(34.1515515, -118.4268665)"
329,1783.0,141102,Sherman Oaks,"(34.149623, -118.4308415)"
330,1557.0,141201,Sherman Oaks,"(34.1528925, -118.442632)"
331,1874.0,141202,Sherman Oaks,"(34.1470205, -118.4426355)"
332,1681.0,141302,Sherman Oaks,"(34.152885, -118.4630195)"
333,1574.0,141303,Sherman Oaks,"(34.1550215, -118.4552015)"
334,1479.0,141304,Sherman Oaks,"(34.151617, -118.454058)"
335,1475.0,141400,Encino,"(34.1568045, -118.475833)"
336,2208.0,141500,Encino,"(34.138146, -118.4788925)"
337,2866.0,141600,Sherman Oaks,"(34.1376705, -118.459396)"
338,1633.0,143100,Toluca Lake,"(34.1478525, -118.3563095)"
339,1518.0,143200,Studio City,"(34.149998, -118.3710665)"
340,1433.0,143300,Studio City,"(34.1521895, -118.386433)"
341,1644.0,143400,Studio City,"(34.153987, -118.409486)"
342,1688.0,143500,Studio City,"(34.146964, -118.4092995)"
343,1682.0,143602,Studio City,"(34.1449605, -118.387713)"
344,1540.0,143603,Studio City,"(34.1438535, -118.3703245)"
345,1802.0,143604,Studio City,"(34.1406405, -118.369959)"
346,1470.0,143700,Hollywood Hills,"(34.128096, -118.358231)"
347,1667.0,143800,Studio City,"(34.1343225, -118.3793935)"
348,3500.0,143901,Studio City,"(34.132849, -118.3947615)"
349,1835.0,143902,Sherman Oaks,"(34.1378715, -118.418298)"
350,1105.0,181000,Eagle Rock,"(34.1439045, -118.204552)"
351,1642.0,181300,Eagle Rock,"(34.1364875, -118.2233065)"
352,1375.0,181400,Eagle Rock,"(34.1364725, -118.210235)"
353,1413.0,181500,Eagle Rock,"(34.133864, -118.1922815)"
354,1266.0,181600,Eagle Rock,"(34.1295685, -118.210156)"
355,1159.0,183101,Highland Park,"(34.1213355, -118.1819855)"
356,1230.0,183103,Highland Park,"(34.116165, -118.1748505)"
357,1173.0,183104,Highland Park,"(34.120221, -118.172802)"
358,1167.0,183220,Highland Park,"(34.119149, -118.1900895)"
359,1163.0,183221,Highland Park,"(34.125332, -118.1907195)"
360,1096.0,183222,Eagle Rock,"(34.128003, -118.1965205)"
361,1315.0,183300,Highland Park,"(34.1213215, -118.2009575)"
362,994.0,183401,Highland Park,"(34.121669, -118.209149)"
363,1303.0,183402,Eagle Rock,"(34.125651, -118.216654)"
364,1092.0,183510,Highland Park,"(34.1153125, -118.2025785)"
365,982.0,183520,Highland Park,"(34.110558, -118.201548)"
366,1096.0,183610,Highland Park,"(34.1141535, -118.194381)"
367,1202.0,183620,Highland Park,"(34.1147205, -118.189487)"
368,1173.0,183701,Highland Park,"(34.108515, -118.186489)"
369,1340.0,183702,Montecito Heights,"(34.1047815, -118.184373)"
370,1077.0,183810,Highland Park,"(34.1074675, -118.198023)"
371,1122.0,183820,Highland Park,"(34.104337, -118.197538)"
372,1128.0,185100,Mount Washington,"(34.1047205, -118.211798)"
373,1268.0,185202,Mount Washington,"(34.0951035, -118.218046)"
374,1034.0,185203,Cypress Park,"(34.099608, -118.2317465)"
375,1239.0,185204,Mount Washington,"(34.102575, -118.222414)"
376,1041.0,185310,Cypress Park,"(34.091851, -118.222215)"
377,979.0,185320,Cypress Park,"(34.0883995, -118.2247575)"
378,1200.0,186100,Glassell Park,"(34.1284265, -118.2296325)"
379,1313.0,186201,Eagle Rock,"(34.121613, -118.2186485)"
380,1158.0,186202,Glassell Park,"(34.120163, -118.2240375)"
381,1740.0,186203,Mount Washington,"(34.1149675, -118.215376)"
382,1111.0,186301,Glassell Park,"(34.1220355, -118.2414825)"
383,1203.0,186302,Glassell Park,"(34.1130175, -118.228915)"
384,1091.0,186401,Glassell Park,"(34.118178, -118.2445025)"
385,1165.0,186403,Glassell Park,"(34.111287, -118.2393275)"
386,1133.0,186404,Glassell Park,"(34.1070285, -118.235004)"
387,1323.0,187101,Atwater Village,"(34.1156225, -118.259303)"
388,1301.0,187102,Elysian Valley,"(34.100216, -118.2437135)"
389,1184.0,187200,Elysian Valley,"(34.101728, -118.2488185)"
390,1748.0,187300,Silver Lake,"(34.101596, -118.257665)"
391,1359.0,188100,Atwater Village,"(34.137637, -118.270105)"
392,1525.0,188201,Los Feliz,"(34.112061, -118.2742745)"
393,1586.0,188202,Los Feliz,"(34.116113, -118.2790375)"
394,1606.0,188300,Atwater Village,"(34.1203105, -118.2636825)"
395,1424.0,189101,Los Feliz,"(34.1047355, -118.2885045)"
396,1416.0,189102,Los Feliz,"(34.113089, -118.2888405)"
397,1225.0,189201,Los Feliz,"(34.103583, -118.296163)"
398,1650.0,189202,Los Feliz,"(34.111557, -118.295845)"
399,1250.0,189300,Los Feliz,"(34.112585, -118.306918)"
400,1690.0,189400,Hollywood Hills,"(34.120601, -118.3214985)"
401,1399.0,189500,Hollywood Hills,"(34.109247, -118.3218185)"
402,1491.0,189600,Hollywood Hills,"(34.1127975, -118.330591)"
403,1897.0,189701,Hollywood Hills,"(34.129416, -118.3366605)"
404,1626.0,189702,Hollywood Hills,"(34.1137465, -118.3421255)"
405,1628.0,189800,Hollywood,"(34.0980545, -118.359927)"
406,1511.0,189902,Hollywood,"(34.0961785, -118.3490045)"
407,1660.0,189903,Hollywood,"(34.1026455, -118.34759)"
408,1457.0,189904,Hollywood,"(34.099793, -118.346538)"
409,1497.0,189905,Hollywood,"(34.100732, -118.3514465)"
410,1266.0,190100,Hollywood,"(34.0992315, -118.3421205)"
411,1152.0,190201,Hollywood,"(34.1034935, -118.330009)"
412,1326.0,190202,Hollywood,"(34.1033925, -118.335128)"
413,1026.0,190301,Hollywood,"(34.103533, -118.3178)"
414,1156.0,190401,Los Feliz,"(34.1035725, -118.302783)"
415,1110.0,190402,Los Feliz,"(34.103557, -118.307149)"
416,1145.0,190510,Hollywood,"(34.0999045, -118.3118915)"
417,994.0,190520,East Hollywood,"(34.0999325, -118.303805)"
418,1197.0,190700,Hollywood,"(34.098, -118.332675)"
419,959.0,190801,Hollywood,"(34.0943795, -118.3244635)"
420,1134.0,190802,Hollywood,"(34.094359, -118.3299175)"
421,983.0,190901,Hollywood,"(34.094431, -118.3124765)"
422,1055.0,190902,Hollywood,"(34.0944055, -118.319012)"
423,1182.0,191000,Hollywood,"(34.1016045, -118.320651)"
424,1006.0,191110,East Hollywood,"(34.096507, -118.304869)"
425,1026.0,191120,East Hollywood,"(34.0929955, -118.3048465)"
