TRACT,ZIP,LA_TRACT
06037192520,90029,192520
06037192520,90004,192520
06037192610,90004,192610
06037192610,90029,192610
06037192620,90004,192620
06037192700,90029,192700
06037192700,90004,192700
06037194101,90068,194101
06037194101,90028,194101
06037194101,90046,194101
06037194102,90046,194102
06037194200,90069,194200
06037194200,90046,194200
06037194300,90069,194300
06037194300,90046,194300
06037194300,90210,194300
06037194401,90036,194401
06037194401,90048,194401
06037194401,90046,194401
06037194402,90048,194402
06037194402,90046,194402
06037194402,90069,194402
06037194500,90036,194500
06037194500,90048,194500
06037195100,90039,195100
06037195100,90026,195100
06037195100,90027,195100
06037195201,90027,195201
06037195202,90029,195202
06037195202,90027,195202
06037195300,90027,195300
06037195300,90029,195300
06037195400,90039,195400
06037195400,90026,195400
06037195400,90029,195400
06037195500,90026,195500
06037195500,90039,195500
06037195600,90026,195600
06037195710,90026,195710
06037195720,90026,195720
06037195802,90004,195802
06037195802,90026,195802
06037195803,90026,195803
06037195804,90026,195804
06037195901,90029,195901
06037195901,90026,195901
06037195902,90026,195902
06037195903,90004,195903
06037195903,90026,195903
06037197200,90031,197200
06037197300,90026,197300
06037197410,90026,197410
06037197410,90039,197410
06037197410,90031,197410
06037197420,90026,197420
06037197420,90039,197420
06037197500,90026,197500
06037197600,90012,197600
06037197600,90026,197600
06037197700,90012,197700
06037197700,90026,197700
06037199000,90065,199000
06037199000,90031,199000
06037199110,90032,199110
06037199110,90031,199110
06037199120,90032,199120
06037199120,90031,199120
06037199201,90031,199201
06037199202,90031,199202
06037199202,90032,199202
06037199300,90032,199300
06037199300,90031,199300
06037199300,90042,199300
06037199400,90031,199400
06037199400,90065,199400
06037199700,90031,199700
06037199800,90031,199800
06037199900,90031,199900
06037199900,90033,199900
06037201110,90032,201110
06037201120,90032,201120
06037201200,90032,201200
06037201301,90032,201301
06037201302,90032,201302
06037201302,90042,201302
06037201401,90032,201401
06037201402,90032,201402
06037201402,90063,201402
06037201501,91801,201501
06037201501,90032,201501
06037201503,90032,201503
06037201504,90032,201504
06037201601,90032,201601
06037201602,90032,201602
06037201700,90063,201700
06037201700,90032,201700
06037203100,90063,203100
06037203100,90033,203100
06037203200,90033,203200
06037203200,90063,203200
06037203300,90033,203300
06037203500,90033,203500
06037203500,90031,203500
06037203600,90033,203600
06037203710,90033,203710
06037203720,90033,203720
06037203800,90033,203800
06037203800,90063,203800
06037203900,90063,203900
06037203900,90023,203900
06037204110,90063,204110
06037204110,90033,204110
06037204120,90023,204120
06037204120,90063,204120
06037204200,90033,204200
06037204300,90033,204300
06037204300,90063,204300
06037204300,90023,204300
06037204410,90033,204410
06037204420,90033,204420
06037204600,90033,204600
06037204600,90023,204600
06037204700,90023,204700
06037204810,90023,204810
06037204820,90023,204820
06037204910,90023,204910
06037204920,90023,204920
06037205110,90023,205110
06037205120,90023,205120
06037206010,90012,206010
06037206020,90012,206020
06037206031,90023,206031
06037206031,90013,206031
06037206031,90012,206031
06037206031,90021,206031
06037206031,90058,206031
06037206032,90033,206032
06037206050,90023,206050
06037206050,90033,206050
06037206200,90013,206200
06037206200,90012,206200
06037206300,90021,206300
06037206300,90014,206300
06037206300,90013,206300
06037207101,90012,207101
06037207102,90012,207102
06037207103,90051,207103
06037207103,90012,207103
06037207103,90087,207103
06037207103,90086,207103
06037207103,90030,207103
06037207103,90054,207103
06037207103,90060,207103
06037207301,90015,207301
06037207301,90014,207301
06037207301,90012,207301
06037207301,90013,207301
06037207302,90012,207302
06037207302,90013,207302
06037207302,90014,207302
06037207400,90053,207400
06037207400,90012,207400
06037207501,90012,207501
06037207502,90071,207502
06037207502,90013,207502
06037207502,90012,207502
06037207710,90017,207710
06037207710,90084,207710
06037207710,90071,207710
06037207710,90015,207710
06037207710,90014,207710
06037207710,90055,207710
06037207710,90074,207710
06037207710,90081,207710
06037207710,90013,207710
06037207900,90079,207900
06037207900,90015,207900
06037208000,90026,208000
06037208000,90017,208000
06037208000,90012,208000
06037208301,90026,208301
06037208301,90017,208301
06037208302,90017,208302
06037208302,90026,208302
06037208401,90057,208401
06037208401,90026,208401
06037208401,90017,208401
06037208402,90026,208402
06037208402,90057,208402
06037208501,90026,208501
06037208501,90057,208501
06037208502,90057,208502
06037208610,90026,208610
06037208610,90057,208610
06037208610,90004,208610
06037208620,90057,208620
06037208620,90026,208620
06037208710,90057,208710
06037208710,90020,208710
06037208720,90057,208720
06037208801,90057,208801
06037208802,90057,208802
06037208902,90057,208902
06037208902,90017,208902
06037208903,90057,208903
06037208904,90057,208904
06037208904,90017,208904
06037209102,90017,209102
06037209103,90017,209103
06037209104,90017,209104
06037209200,90017,209200
06037209300,90015,209300
06037209300,90017,209300
06037209401,90005,209401
06037209401,90057,209401
06037209401,90006,209401
06037209402,90057,209402
06037209402,90006,209402
06037209403,90057,209403
06037209403,90015,209403
06037209403,90017,209403
06037209510,90006,209510
06037209520,90015,209520
06037209520,90006,209520
06037209810,90006,209810
06037209820,90006,209820
06037209820,90015,209820
06037210010,90015,210010
06037211000,90005,211000
06037211000,90004,211000
06037211000,90020,211000
06037211000,90036,211000
06037211000,90010,211000
06037211120,90005,211120
06037211120,90020,211120
06037211120,90057,211120
06037211120,90010,211120
06037211121,90057,211121
06037211121,90026,211121
06037211121,90020,211121
06037211121,90004,211121
06037211122,90020,211122
06037211122,90004,211122
06037211201,90004,211201
06037211202,90004,211202
06037211310,90020,211310
06037211310,90004,211310
06037211320,90004,211320
06037211320,90020,211320
06037211410,90004,211410
06037211410,90020,211410
06037211420,90020,211420
06037211420,90004,211420
06037211500,90020,211500
06037211500,90004,211500
06037211701,90010,211701
