,Median Rent 2016,Tract Number,Neighborhood,Location,ZIP
275,1139.0,123204,North Hollywood,"(34.193936, -118.39433)",91605
276,1139.0,123204,North Hollywood,"(34.193936, -118.39433)",91606
277,1095.0,123205,North Hollywood,"(34.194979, -118.383413)",91606
278,1095.0,123205,North Hollywood,"(34.194979, -118.383413)",91605
279,1096.0,123206,North Hollywood,"(34.1941185, -118.3746795)",91605
280,1096.0,123206,North Hollywood,"(34.1941185, -118.3746795)",91606
281,1247.0,123301,North Hollywood,"(34.199392, -118.401141)",91605
282,1247.0,123301,North Hollywood,"(34.199392, -118.401141)",91606
283,1214.0,123303,Valley Glen,"(34.1975515, -118.411425)",91605
284,1214.0,123303,Valley Glen,"(34.1975515, -118.411425)",91606
285,1134.0,123304,Valley Glen,"(34.19712, -118.4056305)",91605
286,1134.0,123304,Valley Glen,"(34.19712, -118.4056305)",91606
287,1151.0,123410,Valley Glen,"(34.197565, -118.4224435)",91605
288,1177.0,123420,Valley Glen,"(34.1939335, -118.418128)",91606
289,1177.0,123420,Valley Glen,"(34.1939335, -118.418128)",91605
290,1086.0,123510,Valley Glen,"(34.195752, -118.4268885)",91401
291,1086.0,123510,Valley Glen,"(34.195752, -118.4268885)",91405
292,1181.0,123520,Valley Glen,"(34.190302, -118.4244185)",91401
293,1288.0,123601,Valley Glen,"(34.177484, -118.417834)",91606
294,1288.0,123601,Valley Glen,"(34.177484, -118.417834)",91401
295,1229.0,123602,Valley Glen,"(34.1794765, -118.42688)",91401
296,1269.0,123700,Valley Glen,"(34.184859, -118.409517)",91606
297,1263.0,123800,Valley Glen,"(34.181224, -118.400846)",91606
298,1263.0,123800,Valley Glen,"(34.181224, -118.400846)",91607
299,1299.0,123901,North Hollywood,"(34.1848585, -118.394806)",91611
300,1299.0,123901,North Hollywood,"(34.1848585, -118.394806)",91606
301,1299.0,123901,North Hollywood,"(34.1848585, -118.394806)",91612
302,1460.0,123902,North Hollywood,"(34.176766, -118.3921365)",91606
303,1460.0,123902,North Hollywood,"(34.176766, -118.3921365)",91607
304,1460.0,123902,North Hollywood,"(34.176766, -118.3921365)",91601
305,1443.0,124000,Valley Village,"(34.162959, -118.4048165)",91617
306,1443.0,124000,Valley Village,"(34.162959, -118.4048165)",91607
307,1147.0,124102,North Hollywood,"(34.175783, -118.383398)",91601
308,1147.0,124102,North Hollywood,"(34.175783, -118.383398)",91606
309,1097.0,124103,North Hollywood,"(34.1884915, -118.3834125)",91609
310,1097.0,124103,North Hollywood,"(34.1884915, -118.3834125)",91606
311,1074.0,124104,North Hollywood,"(34.1848615, -118.383409)",91606
312,1135.0,124105,North Hollywood,"(34.181229, -118.383405)",91606
313,1297.0,124201,North Hollywood,"(34.1848665, -118.374674)",91606
314,1259.0,124203,North Hollywood,"(34.177602, -118.3746645)",91601
315,1259.0,124203,North Hollywood,"(34.177602, -118.3746645)",91606
316,1143.0,124204,North Hollywood,"(34.1739735, -118.3746565)",91601
317,1068.0,124300,North Hollywood,"(34.175793, -118.36403)",91606
318,1068.0,124300,North Hollywood,"(34.175793, -118.36403)",91601
319,1204.0,124400,Valley Glen,"(34.1738495, -118.409707)",91606
320,1204.0,124400,Valley Glen,"(34.1738495, -118.409707)",91607
321,1463.0,124500,Valley Glen,"(34.1741095, -118.4246955)",91401
322,1450.0,124600,Sherman Oaks,"(34.161935, -118.4268715)",91423
323,1450.0,124600,Sherman Oaks,"(34.161935, -118.4268715)",91401
324,1545.0,124700,Sherman Oaks,"(34.162466912294278, -118.41386449999408)",91604
